Release Year,Origin/Ethnicity,Director,Cast
1951,British,Carol Reed,"Robert Morley, Trevor Howard"
1951,British,Tony Young,"Harry Secombe, Alfred Marks, Peter Sellers"
1951,British,John Gilling,"Derek Bond, Jane Hylton"
1951,British,Jack Raymond,"Ronald Shiner, Derek Farr"
1951,British,Brian Desmond Hurst,"Alastair Sim, Mervyn Johns, Hermione Baddeley"
1951,British,John Guillermin,"Peter Reynolds, Mercy Haystead"
1951,British,Jack Raymond,"Albert Modley, Bruce Seton"
1951,British,John Paddy Carstairs,"Jack Warner, Barbara Mullen"
1951,British,Godfrey Grayson,"Avis Scott, Patrick Barr"
1951,British,Terence Young,"Jack Warner, Nadia Gray"
1951,British,Harry Watt,"Anthony Steel, Dinah Sheridan"
1951,British,Pat Jackson,"Googie Withers, James Donald"
1951,British,Jack Raymond,"Ronald Shiner, Diana Dors"
1951,British,Henry Cass,"Joan Greenwood, Nigel Patrick, Audrey Hepburn"
1952,British,George More O'Ferrall,"Jack Hawkins, Michael Denison"
1952,British,John Eldridge,"Kenneth More, Charles Hawtrey"
1952,British,Ronald Neame,"Alec Guinness, Petula Clark, Glynis Johns"
1952,British,Daniel Birt,"Rona Anderson, Patrick Holt"
1952,British,Michael McCarthy,"Donald Houston, Natasha Parry"
1952,British,Ralph Smart,"Robert Morley, Margaret Rutherford"
1952,British,Herbert Wilcox,"Anna Neagle, Michael Wilcox"
1952,British,Maclean Rogers,"Peter Sellers, Harry Secombe, Spike Milligan"
1952,British,John Gilling,"Dermot Walsh, Barbara Murray"
1952,British,Basil Dearden,"John Mills, Dirk Bogarde"
1952,British,Vernon Sewell,"Hazel Court, Dermot Walsh"
1952,British,Compton Bennett,"Trevor Howard, Richard Attenborough"
1952,British,"Michael Powell, Emeric Pressburger","Jennifer Jones, David Farrar"
1952,British,Maclean Rogers,"John Bentley, Patricia Dainton"
1952,British,Muriel Box,"Stanley Holloway, Kathleen Harrison"
1952,British,Arthur Crabtree,"Lisa Daniely, Brian Worth"
1952,British,Harold French,"Peter Lawford, Dawn Addams"
1952,British,Charles Crichton,"Dirk Bogarde, Jon Whiteley, Elizabeth Sellars, Kay Walsh"
1952,British,Basil Dearden,"Celia Johnson, Cecil Parker"
1952,British,Anthony Asquith,"Michael Redgrave, Michael Denison, Edith Evans"
1952,British,Compton Bennett,"Jane Hylton, Muriel Pavlow, Martita Hunt"
1952,British,John Baxter,"Hugh Sinclair, Helen Shingler"
1952,British,Ronald Drake,"Laurence Harvey, Susan Shaw"
1952,British,Victor M. Gover,"Tod Slaughter, Patrick Barr"
1952,British,Sam Newfield,"Cesar Romero, Lois Maxwell"
1952,British,Terence Fisher,"George Brent, Marguerite Chapman, Diana Dors"
1952,British,Jack Raymond,"Ronald Shiner, Marie Lohr"
1952,British,David MacDonald,"Mark Stevens, Jean Kent"
1952,British,John Paddy Carstairs,"David Tomlinson, Petula Clark"
1952,British,Harold French,"Claude Rains, Marius Goring"
1952,British,"Alexander Mackendrick, Fred Sears","Phyllis Calvert, Jack Hawkins, Terence Morgan"
1952,British,Anthony Pelissier,"Valerie Hobson, Nigel Patrick"
1952,British,John Gilling,"Arthur Lucan, Bela Lugosi"
1952,British,John Huston,"José Ferrer, Zsa Zsa Gabor, Suzanne Flon"
1952,British,Francis Searle,"Rosamund John, Hugh Sinclair"
1952,British,"Maurice Cloche, Ralph Smart","Vittorio Manunta, Denis O'Dea"
1952,British,Maclean Rogers,"John Bentley, Patricia Dainton, Peter Gawthorne"
1952,British,Val Guest,"Yolande Donlan, Dirk Bogarde"
1952,British,Ken Annakin,"Claudette Colbert, Jack Hawkins"
1952,British,Maclean Rogers,"John Bentley, Carol Marsh"
1952,British,Thorold Dickinson,"Audrey Hepburn, Valentina Cortese"
1952,British,Compton Bennett,"Marius Goring, Maria Schell"
1952,British,Pat Jackson,"Patricia Roc, Anthony Steel"
1952,British,David Lean,"Ralph Richardson, Ann Todd"
1952,British,Terence Fisher,"Paul Henreid, Lizabeth Scott, André Morell"
1952,British,Wendy Toye,"Alan Badel, Geoffrey Bayldon, Eileen Way"
1952,British,Lewis Gilbert,"Eddie Byrne, Raymond Lovell"
1952,British,Mario Zampi,"George Cole, Oskar Homolka"
1952,British,John Paddy Carstairs,"Martita Hunt, Jimmy Edwards, Naunton Wayne"
1952,British,Herbert Wilcox,"Michael Wilding, Margaret Lockwood, Orson Welles"
1952,British,John Gilling,"Valerie Hobson, James Robertson Justice"
1952,British,Ken Hughes,"Sydney Tafler, Susan Shaw"
1952,British,Leslie Arliss,"Edward Underdown, Cathy O'Donnell"
1952,British,Gordon Parry,"René Ray, Lois Maxwell"
1952,British,Karl Hartl,"Bobby Henrey, Elwyn Brook-Jones"
1953,British,Montgomery Tully,"Dan Duryea, Elsie Albiin"
1953,British,Lewis Gilbert,"Anthony Steel, Jack Warner, Robert Beatty"
1953,British,Ralph Smart,"Peggy Cummins, Terence Morgan"
1953,British,Philip Leacock,"Dirk Bogarde, Ian Hunter, Dinah Sheridan"
1953,British,Daniel Birt,"Valerie Hobson, Philip Friend"
1953,British,Peter Brook,"Laurence Olivier, Hugh Griffith"
1953,British,John Harlow,"Dermot Walsh, Jacqueline Hill"
1953,British,Martyn C. Webster,"Robert Beatty, Elizabeth Sellars"
1953,British,Anthony Kimmins,"Alec Guinness, Celia Johnson, Yvonne De Carlo"
1953,British,Lewis Gilbert,"James Kenney, Joan Collins"
1953,British,Charles Frend,"Jack Hawkins, Donald Sinden"
1953,British,Ralph Thomas,"Stanley Holloway, Donald Sinden"
1953,British,Compton Bennett,"Dirk Bogarde, Mai Zetterling"
1953,British,John Gilling,"Sid James, Bonar Colleano"
1953,British,Godfrey Grayson,"Dennis O'Keefe, Coleen Gray"
1953,British,Anthony Asquith,"Jack Warner, Robert Morley"
1953,British,Reginald Le Borg,"Barbara Payton, Frederick Valk"
1953,British,Frank Launder,"Alastair Sim, Elizabeth Allan"
1953,British,Terence Fisher,"Barbara Payton, James Hayter"
1953,British,Patrick Jenkins,"Dane Clark, Kathleen Byron"
1953,British,Henry Cornelius,"Dinah Sheridan, John Gregson, Kay Kendall"
1953,British,Lance Comfort,"Veronica Hurst, Ron Randell"
1953,British,Bob McNaught,"Nigel Patrick, Moira Lister, Beatrice Campbell"
1953,British,Maurice Elvey,"James Hayter, Thora Hird, Diana Dors"
1953,British,George More O'Ferrall,"Trevor Howard, Elizabeth Allan"
1953,British,Gordon Parry,"Alastair Sim, Jimmy Edwards"
1953,British,Charles Frank,"Harold Warrender, Marian Spencer, William Russell"
1953,British,Guy Hamilton,"Jack Hawkins, George Cole"
1953,British,Maurice Elvey,"Diana Dors, Bonar Colleano"
1953,British,John E. Blakeley,"Frank Randle, Diana Dors"
1953,British,Lewis Gilbert,"Eugeniusz Chylek, Sydney Tafler"
1953,British,Philip Leacock,"Duncan Macrae, Theodore Bikel, Adrienne Corri"
1953,British,Wolf Rilla,"Donald Houston, Susan Shaw"
1953,British,Herbert Wilcox,"Wendell Corey, Margaret Lockwood"
1953,British,John Eldridge,"Kathleen Ryan, Raymond Huntley"
1953,British,Cy Endfield,"Lloyd Bridges, Moira Lister"
1953,British,Robert Hamer,"John Mills, John McCallum"
1953,British,Brian Desmond Hurst,"Alec Guinness, Jack Hawkins"
1953,British,Carol Reed,"James Mason, Claire Bloom"
1953,British,Wolf Rilla,"Sandra Dorne, Maxwell Reed"
1953,British,William Keighley,"Errol Flynn, Roger Livesey"
1953,British,Anthony Pelissier,"Stanley Holloway, Peggy Cummins"
1953,British,Anthony Asquith,"James Donald, Phyllis Calvert, Herbert Lom"
1953,British,John Guillermin,"Guy Rolfe, Lisa Daniely"
1953,British,C.M. Pennington-Richards,"Robert Beatty, Michael Medwin"
1953,British,Noel Langley,"Joan Collins, Kenneth More George Cole"
1953,British,John Gilling,"Kieron Moore, Elizabeth Sellars"
1953,British,Montgomery Tully,"Donald Houston, Susan Shaw"
1953,British,Sidney Gilliat,"Robert Morley, Maurice Evans"
1953,British,Richard Vernon,"Cesar Romero, Kay Kendall"
1953,British,John Harlow,"Jack Warner, Charles Victor"
1953,British,Daniel Birt,"Greta Gynt, Hugh Sinclair"
1953,British,Charles Crichton,"Stanley Holloway, Naunton Wayne"
1953,British,John Paddy Carstairs,"Ronald Shiner, Harry Fowler"
1953,British,John Paddy Carstairs,"Norman Wisdom, Moira Lister"
1953,British,Jack Lee,"Yvonne Mitchell, Joan Collins, Kathleen Harrison"
1953,British,Arthur Crabtree,"Lisa Daniely, Hugh McDermott"
1953,British,Francis Searle,"Patric Doonan, Sandra Dorne"
1953,British,J. Lee Thompson,"Andrew Ray, Kathleen Ryan, Kenneth More"
1954,British,John Guillermin,"Mandy Miller, Hilda Fenemore"
1954,British,Alan Bromly,"Felix Aylmer, Diane Cilento"
1954,British,"John Halas, Joy Batchelor","Gordon Heath, Maurice Denham"
1954,British,Anthony Kimmins,"Margaret Rutherford, Ronald Shiner, Fay Compton"
1954,British,Lance Comfort,"Jack Warner, Sean Barrett, Derek Farr"
1954,British,Muriel Box,"Donald Sinden, Glynis Johns"
1954,British,Frank Launder,"Alastair Sim, Joyce Grenfell, George Cole"
1954,British,Wolf Rilla,"Jimmy Hanley, Rona Anderson"
1954,British,Val Guest,"Michael Rennie, Yolande Donlan"
1954,British,Anthony Asquith,"David Niven, Margaret Leighton"
1954,British,John Eldridge,"John Gregson, Muriel Pavlow"
1954,British,John Guillermin,"John Gregson, Joan Rice"
1954,British,Val Guest,"Terence Morgan, Mai Zetterling, Guy Rolfe"
1954,British,Douglas Peirce,"Peter Reynolds, Honor Blackman"
1954,British,John Harlow,"Robert Ayres, June Thorburn"
1954,British,David MacDonald,"Patricia Laffan, Hugh McDermott"
1954,British,Montgomery Tully,"Richard Arlen, Greta Gynt"
1954,British,Montgomery Tully,"Dennis O'Keefe, Margaret Sheridan and Philip Friend"
1954,British,Charles Crichton,"Cornell Borchers, Yvonne Mitchell, Armin Dahlen"
1954,British,Ralph Thomas,"Dirk Bogarde, Kenneth More, Donald Sinden"
1954,British,Lance Comfort,"Richard Attenborough, Cathy O'Donnell"
1954,British,John Gilling,"Charles Victor, Zena Marshall"
1954,British,Wolf Rilla,"Finlay Currie, Duncan Lamont"
1954,British,Gordon Parry,"Stanley Holloway, Kay Kendall"
1954,British,Robert Hamer,"Alec Guinness, Joan Greenwood, Peter Finch"
1954,British,Montgomery Tully,"Dane Clark, Cecile Chevreau"
1954,British,J. Lee Thompson,Dirk Bogarde
1954,British,Harold French,"Jack Warner, Nigel Patrick, Elizabeth Sellars, Terence Morgan"
1954,British,Gordon Parry,"Jack Hawkins, Eva Bartok"
1954,British,Maurice Elvey,"Wilfred Pickles, Petula Clark"
1954,British,George Breakston,"John Bentley, Robert Urquhart"
1954,British,Charles Saunders,"André Morell, Thea Gregory"
1954,British,Lewis Gilbert,"Stanley Baker, Richard Basehart, Laurence Harvey"
1954,British,Mario Zampi,"David Niven, Yvonne De Carlo"
1954,British,Maurice Elvey,"Guy Middleton, Elwyn Brook-Jones"
1954,British,David Lean,"Charles Laughton, Brenda De Banzie"
1954,British,Ken Hughes,"Alex Nicol, Hillary Brooke"
1954,British,Cy Endfield,"Arthur Kennedy, Constance Smith"
1954,British,Guy Hamilton,"Alastair Sim, Jane Wenham"
1954,British,Harold French,"Cecil Parker, Eileen Herlie"
1954,British,Norman Walker,"Leonard Sachs, Gerard Lohan"
1954,British,Charles Frend,"Robert Donat, Kay Walsh"
1954,British,Herbert Wilcox,"Errol Flynn, Anna Neagle"
1954,British,Charles Crichton,"David Niven, Peggy Cummins"
1954,British,Ralph Thomas,"Glynis Johns, Donald Sinden"
1954,British,Alexander Mackendrick,"Alex Mackenzie, Paul Douglas"
1954,British,Cyril Frankel,"Peter Finch, Adrienne Corri"
1954,British,Richard Sale,"Maureen O'Hara, Macdonald Carey"
1954,British,Terence Fisher,"Richard Conte, Mari Aldon"
1954,British,Cy Endfield,"Norman Wooland, Tilda Thamar"
1954,British,Charles Saunders,"Derrick De Marney, Harriette Johns"
1954,British,Val Guest,"Don Taylor, Reginald Beckwith"
1954,British,Ronald Neame,Gregory Peck
1954,British,Terence Fisher,"Dane Clark, Belinda Lee"
1954,British,David Paltenghi,"Peter Sellers, Tony Hancock, Sid James"
1954,British,Francis Searle,"John Bentley, Kathleen Byron"
1954,British,Robert Parrish,"Gregory Peck, Win Min Than, Maurice Denham, Lyndon Brook, Bernard Lee"
1954,British,Vernon Sewell,"Jimmy Hanley, Lana Morris"
1954,British,Val Guest,"Frankie Howerd, Petula Clark"
1954,British,Lewis Gilbert,"Michael Redgrave, Dirk Bogarde"
1954,British,"John Boulting, Roy Boulting","Gene Kelly, John Justin"
1954,British,Ken Annakin,"Jack Hawkins, Glynis Johns"
1954,British,Joseph Losey,"Alexis Smith, Dirk Bogarde"
1954,British,Terence Fisher,"William Sylvester, Paulette Goddard, Patrick Holt"
1954,British,Burt Balaban,"Patricia Neal, Helmut Dantine"
1954,British,Wendy Toye,"Margaret Leighton, John Justin, Roland Culver"
1954,British,Daniel Birt,"Lloyd Bridges, Simone Silva"
1954,British,Don Chaffey,"Dennis Price, Renée Asherson"
1954,British,Herbert Wilcox,"Margaret Lockwood, Orson Welles"
1954,British,John Paddy Carstairs,"Ronald Shiner, Brian Rix"
1954,British,J. Lee Thompson,"Glynis Johns, Diana Dors"
1954,British,Harry Watt,"Anthony Steel, Sheila Sim"
1954,British,Maurice Elvey,"William Sylvester, Elsie Albiin"
1954,British,Ken Annakin,"Donald Sinden, Akim Tamiroff"
1954,British,Anthony Asquith,"Odile Versois, David Knight"
1955,British,Gregory Ratoff,"Gregory Ratoff, Kay Kendall, Sydney Chaplin"
1955,British,Ralph Thomas,"John Mills, John Gregson, Donald Sinden"
1955,British,Wendy Toye,"Nigel Patrick, Kathleen Harrison"
1955,British,J. Lee Thompson,"Donald Sinden, Jeannie Carson, Stanley Holloway"
1955,British,J. Lee Thompson,"Jack Buchanan, Janette Scott"
1955,British,Bernard Knowles,"Tom Conway, Delphi Lawrence"
1955,British,Wolf Rilla,"Kieron Moore, Sarah Lawson"
1955,British,Lewis Gilbert,"Dirk Bogarde, Margaret Lockwood"
1955,British,José Ferrer,"José Ferrer, Trevor Howard"
1955,British,Guy Hamilton,"John Mills, Eric Portman"
1955,British,Sidney Gilliat,"Rex Harrison, Margaret Leighton"
1955,British,Michael Anderson,"Richard Todd, Michael Redgrave"
1955,British,Ralph Thomas,"Dirk Bogarde, Brigitte Bardot"
1955,British,Philip Leacock,"John Mills, Alastair Sim"
1955,British,Arthur Lubin,"Stewart Granger, Jean Simmons"
1955,British,Frank Launder,"Bill Travers, Alastair Sim"
1955,British,John Gilling,"Alex Nicol, Veronica Hurst"
1955,British,Montgomery Tully,"John Ireland, Honor Blackman"
1955,British,John Warrington,"Ruth Dunning, Edward Evans, Sid James"
1955,British,William Fairchild,"Sid James, Peter Sellers"
1955,British,Roy Boulting,"Glynis Johns, Donald Sinden"
1955,British,Carol Reed,"Celia Johnson, Diana Dors"
1955,British,Alexander Mackendrick,"Alec Guinness, Herbert Lom, Peter Sellers"
1955,British,Val Guest,"Ben Lyon, Bebe Daniels"
1955,British,Harold French,"Moira Shearer, John Justin"
1955,British,Leslie Arliss,"Diana Dors, Patrick Holt"
1955,British,Leslie Norman,Michael Redgrave
1955,British,"Michael Powell, Emeric Pressburger","Anton Walbrook, Ludmilla Tchérina, Anthony Quayle"
1955,British,John Paddy Carstairs,Norman Wisdom
1955,British,Charles Saunders,"Paul Carpenter, Diane Hart, Jill Adams"
1955,British,Francis Searle,"Jill Adams, Eddie Byrne"
1955,British,Basil Dearden,"Anthony Steel, Robert Beatty"
1955,British,Roy Ward Baker,"Anthony Steel, Peter Finch"
1955,British,Derek N. Twist,"Joan Rice, Tim Turner"
1955,British,Peter Glenville,"Alec Guinness, Jack Hawkins"
1955,British,Val Guest,"Brian Donlevy, Jack Warner"
1955,British,Wendy Toye,"Kenneth More, Shelagh Fraser"
1955,British,Henry Cass,"John Carroll, Virginia Bruce"
1955,British,Laurence Olivier,"Laurence Olivier, Cedric Hardwicke, John Gielgud"
1955,British,Peter Cotes,"Margo Lorenz, Douglas Wilmer"
1955,British,Maurice Elvey,"Patrick Barr, Hubert Gregg"
1955,British,Cy Endfield,"Sam Wanamaker, Mandy Miller"
1955,British,R. G. Springsteen,"Kent Taylor, Jane Hylton"
1955,British,Leslie Arliss,"Ronald Shiner, Greta Gynt and James Hayter"
1955,British,Basil Dearden,"George Baker, Richard Attenborough"
1955,British,Wolf Rilla,"Paul Carpenter, Rona Anderson"
1955,British,"Zoltan Korda, Terence Young","Anthony Steel, Laurence Harvey"
1955,British,Val Guest,"Terence Morgan, Yolande Donlan"
1955,British,Leslie S. Hiscott,"Richard Hearne, Ellen Pollock"
1955,British,Ken Hughes,"Gene Nelson, Faith Domergue"
1955,British,Robert Hamer,"Alec Guinness, Odile Versois"
1955,British,Michael Truman,"Jack Hawkins, Margaret Johnston, June Thorburn"
1955,British,John Gilling,"Lionel Jeffries, Jack Watling"
1955,British,George More O'Ferrall,"Diane Cilento, George Baker"
1955,British,Gordon Parry,"Edward Chapman, Sid James"
1955,British,Maurice Elvey,"Tommy Trinder, Dora Bryan"
1956,British,Maclean Rogers,"Richard Denning, Carole Mathews"
1956,British,Jay Lewis,"John Mills, Richard Attenborough"
1956,British,"Michael Powell, Emeric Pressburger","John Gregson, Anthony Quayle"
1956,British,Charles Saunders,"Paul Carpenter, Adrienne Corri"
1956,British,Jack Clayton,"Alfie Bass, Alan Tilvern"
1956,British,Brian Desmond Hurst,"Donald Sinden, Anthony Steel"
1956,British,Henry Cass,"Dermot Walsh, Jane Barrett, John Colicos"
1956,British,Joseph Sterling,"Peter Sellers, Spike Milligan"
1956,British,Guy Hamilton,"Max Bygraves, Dennis Price"
1956,British,Ralph Thomas,"Anthony Steel, Stanley Baker"
1956,British,Joseph Sterling,"Philip Friend, Mary Mackenzie, Leslie Dwyer"
1956,British,Maurice Elvey,"Ronald Shiner, Brian Rix"
1956,British,William Fairchild,"Richard Basehart, Simone Simon"
1956,British,Muriel Box,"Donald Sinden, Muriel Pavlow"
1956,British,Pat Jackson,"George Baker, Belinda Lee"
1956,British,John Gilling,"Paul Douglas, Eva Bartok, Leslie Phillips"
1956,British,Sidney Gilliat,"Alastair Sim, George Cole"
1956,British,Henry Cass,"Dale Robertson, Lois Maxwell, Derek Bond, Eric Pohlmann"
1956,British,Julian Amyes,"George Baker, Harry Andrews"
1956,British,Guy Green,"Michael Craig, Eric Pohlmann"
1956,British,Richard Basehart,"Mary Murphy, Constance Cummings, Roger Livesey"
1956,British,Cyril Frankel,"John Mills, Cecil Parker"
1956,British,Michael McCarthy,"Phyllis Calvert, Patrick Barr"
1956,British,Roy Ward Baker,"John Gregson, Kathleen Ryan"
1956,British,Vernon Sewell,"John Slater, Garry Marsh"
1956,British,John Paddy Carstairs,"Frankie Howerd, Stanley Holloway"
1956,British,David Paltenghi,"Ronald Shiner, Joan Sims"
1956,British,Charles Frend,"Jack Hawkins, John Stratton"
1956,British,Guy Green,"David Farrar, David Knight"
1956,British,George More O'Ferrall,"Peggy Cummins, Terence Morgan"
1956,British,Gilbert Gunn,"Ted Ray, Greta Gynt"
1956,British,Maclean Rogers,"Bill Owen, Leslie Dwyer"
1956,British,John Gilling,"Rhonda Fleming, Juma"
1956,British,Wolf Rilla,"Denholm Elliott, Susan Stephen"
1956,British,Guy Green,"Robert Beatty, Terry Moore"
1956,British,John Boulting,"Ian Carmichael, Richard Attenborough, Dennis Price"
1956,British,John Baxter,"Arthur Askey, Glenn Melvyn"
1956,British,Lewis Gilbert,"Kenneth More, Muriel Pavlow"
1956,British,Terence Young,"Victor Mature, Janet Leigh"
1956,British,Gordon Parry,"Peggy Mount, Shirley Eaton"
1956,British,John Dickson,"Kieron Moore, Lois Maxwell"
1956,British,Don Chaffey,"Donald Gray, Andree Melly"
1956,British,Vernon Sewell,"Faith Domergue, Lee Patterson"
1956,British,Maurice Elvey,"Nat Jackley, Patricia Kirkwood"
1956,British,Roy Ward Baker,"Donald Sinden, Muriel Pavlow"
1956,British,Leslie S. Hiscott,"Richard Hearne, William Hartnell"
1956,British,Jack Lee,"Virginia McKenna, Peter Finch"
1956,British,Basil Dearden,"Benny Hill, Belinda Lee, David Kossoff"
1956,British,Ken Hughes,"Arlene Dahl, Philip Carey"
